x,y
0.734425538,0.89263751
2.018351849,0.886921598
3.33875334,0.886158961
4.586204472,0.891380748
5.870130783,0.898377616
6.86225566,0.930437787
7.62093939,0.955318278
8.379623119,0.988037055
9.371747996,1.009194251
10.48059345,1.020499381
11.5894389,1.045609797
12.87336521,1.062670949
14.15729152,1.094960953
15.44121783,1.114935451
16.72514414,1.123124142
18.00907045,1.128664337
19.29299677,1.136588178
20.57692308,1.149279312
21.86084939,1.164221668
23.1447757,1.175058855
24.42870201,1.172256288
25.71262832,1.181239528
26.99655463,1.182409705
28.28048095,1.17828289
29.56440726,1.185941881
30.84833357,1.188701156
31.92307692,1.184076923
33.60293911,1.187973329
34.81683308,1.194581326
36.10075939,1.198002724
37.3846857,1.195862281
38.66861201,1.199945804
39.95253832,1.206677822
40.88630291,1.203851062
41.35318521,1.150990648
41.46990578,1.110796752
41.70334693,1.075565814
42.02432851,1.036561299
42.87055266,1.002393474
44.15447898,0.996015437
45.43840529,0.984605258
46.7223316,0.988688781
48.00625791,0.987210461
49.29018422,0.976329982
49.99050766,0.979159288
